summit_order,summit_order_no_oxygen,climber_name,climbing_period,born_year,age_at_completion,nationality,birth_date,death_date,death_cause,death_place,gender,citizenship,wiki_title,wiki_url,photo_url
24,11,Gerlinde Kaltenbrunner,1998–2011,1970,40,Austrian,+1970-12-13T00:00:00Z,,,,female,Austria,Gerlinde Kaltenbrunner,https://en.wikipedia.org/wiki/Gerlinde_Kaltenbrunner,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Gerlinde_Kaltenbrunner_2015-07-02_001.jpg/500px-Gerlinde_Kaltenbrunner_2015-07-02_001.jpg
25,,Vassily Pivtsov [de],2001–2011,1975,36,Kazakhstani,,,,,,,Wassili Piwzow,https://en.wikipedia.org/wiki/Wassili_Piwzow,
26,12,Maxut Zhumayev,2001–2011,1977,34,Kazakhstani,+1976-12-23T00:00:00Z,,,,male,Kazakhstan,Maxut Zhumayev,https://en.wikipedia.org/wiki/Maxut_Zhumayev,
27,,Kim Jae-soo [de],2000–2011,1961,50,Korean,,,,,,,Kim Jae-soo,https://en.wikipedia.org/wiki/Kim_Jae-soo,
28,13,Mario Panzeri,1988–2012,1964,48,Italian,,,,,,,,,
29,,Hirotaka Takeuchi [ja],1995–2012,1971,41,Japanese,,,,,,,竹内洋岳,https://en.wikipedia.org/wiki/竹内洋岳,
30,,Chhang Dawa Sherpa,2001–2013,1982,30,Nepali,,,,,,,Chhang Dawa Sherpa (mountaineer),https://en.wikipedia.org/wiki/Chhang_Dawa_Sherpa_(mountaineer),
31,14,Kim Chang-ho,2005–2013,1970,43,Korean,,,,,,,Kim Chang-Ho (climber),https://en.wikipedia.org/wiki/Kim_Chang-Ho_(climber),https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/MG_3041%28cut%294.jpg/500px-MG_3041%28cut%294.jpg
32,,Jorge Egocheaga [eu],2002–2014,1968,45,Spanish,,,,,,,Jorge Egocheaga,https://en.wikipedia.org/wiki/Jorge_Egocheaga,
33,15,Radek Jaroš,1998–2014,1964,50,Czech,+1964-04-29T00:00:00Z,,,,male,Czech Republic,Radek Jaroš,https://en.wikipedia.org/wiki/Radek_Jaroš,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Radek_Jaro%C5%A1_%282023%29_III.jpg/500px-Radek_Jaro%C5%A1_%282023%29_III.jpg
